reviewBody,reviewRating,runDate,dateCreated,date_clean,review_clean,review_parts_clean
"Service was far too slow. Unlimited Tuesday sounds great but it took 45mins for a 2nd round of shrimps. The 1st order wasn't even registered. So had to wait again. When it did arrive it so underwhelming. The sauce was different from the first order. Clearly it was rushed. Waitresse explanation was that it was busy with lots of orders. The restaurant wasn't that busy. 4 staff in the corner talking away but the end of the night. Also was given a small table for 4. We were squashed like a tin of sardines. £13 of service charge and didn't even deliver from a service point of view. Reluctantly paid it. Music was also far too loud. I couldn't even hear myself think. Disappointing. The food was decent. Sorry about the service. £115 bill, I expected a better experience.",2.0,2021-07-29,a year ago,2020-07-29,service far slow unlimited tuesday sound great take minutes nd round shrimp st order wasnt even register wait again arrive underwhelming sauce different first order clearly rush staffe explanation busy lot order restaurant wasnt busy staff corner talk away end night also give small table squash like tin sardines money service charge didnt even deliver service point view reluctantly pay it music also far loud couldnt even hear think disappoint food decent sorry service money bill expect better experience,[]
We where forst to leave after spent +£300 because there was other booking on that same table...,1.0,2021-07-29,a year ago,2020-07-29,forst leave spend money book table,[]
"Great ambience, clean toilets, good beer and chicken. Great views. Staff is friendly. You legit cannot complain",5.0,2021-07-29,7 months ago,2020-12-31,great atmosphere clean toilets good beer chicken great view staff friendly legit cannot complain,[]
"The food was good, but very disappointed with Piña Colada, it was very frozen piña colada, I couldn’t even drink it, it was tasting only like a pineapple juice, I couldn’t taste any alcohol,no heaters outside, insufficient illumination, we was eating in the darkness.",1.0,2021-07-29,3 months ago,2021-04-30,food good disappoint pia colada freeze pia colada couldnt even drink it taste like pineapple juice couldnt taste alcoholno heaters outside insufficient illumination eat darkness,[]
Great,5.0,2021-07-29,9 months ago,2020-11-01,great,[]
Amazing date night here!,5.0,2021-07-29,a year ago,2020-07-29,amazing date night here,[]
"Horrible service! Don’t accept to be in the bar, 2 guys fighting there all the time. You have to fight to order your food. Do not recommend!",1.0,2021-07-29,a year ago,2020-07-29,horrible service dont accept bar guy fight time fight order food dont recommend,[]
Great food but not the best service.,4.0,2021-07-29,2 months ago,2021-05-30,great food not best service,[]
"The service is very rushed, my dish could have been cooked a bit longer.",3.0,2021-07-29,a year ago,2020-07-29,service rush dish could cook bit longer,[]
Super,5.0,2021-07-29,5 days ago,2021-07-24,super,[]
Service was great and food was amazing. Remember to book a table in advance,5.0,2021-07-29,a year ago,2020-07-29,service great food amazing remember book table advance,[]
Very unprofessional and rude staff. Will not step a foot near this place ever again.,1.0,2021-07-29,a month ago,2021-06-29,unprofessional rude staff wont step foot near place ever again,[]
The lobster roll and the jumbo shirmps are great here. Great choices of seafood.,5.0,2021-07-29,7 months ago,2020-12-31,lobster roll jumbo shirmps great here great choices seafood,[]
A wonderful experience and outstanding customer service.,4.0,2021-07-29,2 months ago,2021-05-30,wonderful experience outstanding customer service,[]
Nice place good food but a bit expensive,3.0,2021-07-29,11 months ago,2020-09-02,nice place good food bit expensive,[]
Really good lunch and pretty good value especially considering the location,5.0,2021-07-29,a year ago,2020-07-29,really good lunch pretty good value especially consider location,[]
"Great food, thanks to the head chef Les !",5.0,2021-07-29,a year ago,2020-07-29,great food thank head chef les ,[]
Great place to eat food is really good,5.0,2021-07-29,a year ago,2020-07-29,great place eat food really good,[]
I'll go back just for the cocktail..... Old Fashioned FTW!,4.0,2021-07-29,7 months ago,2020-12-31,ill go back cocktail old fashion ftw,[]
Food was ok... lobster Mac& cheese had very little lobster large prawns.. chicken wings good value,3.0,2021-07-29,a year ago,2020-07-29,food ok lobster mac cheese little lobster large prawn chicken wing good value,[]
Not as good as one near Chelsea. Service very very slow.,3.0,2021-07-29,a year ago,2020-07-29,not good one near chelsea service slow,[]
Nice & reasonable price for lobster if that is your thing. Bit slow on the service & Shrimp in batter could have more flavour... but still good!,4.0,2021-07-29,a month ago,2021-06-29,nice reasonable price lobster thing bit slow service shrimp batter could flavour still good,[]
NO SOCIAL DISTANCING. I THOUGHT THEY HAD TO HAVE SPACE BETWEEN TABLES. NO WE WERE IN A SIDE SEATING AREA. AND ALL TABLES WERE OCCUPIED. LITERALLY TOUCHING A STRANGERS BACK. ORDER WAS ALL WRONG. WAITED AGES FOR FOOD. AND PUT ITEMS ON THE BILL WE NEVER HAD. READ YOUR BILL CAREFULLY. NOT GOOD AT ALL 😡,1.0,2021-07-29,9 months ago,2020-11-01,no social distance think space table no side seat area table occupy literally touch strangers back order wrong wait age food put items bill never have read bill carefully not good ,[]
Service poor Food average Costs a fortune,2.0,2021-07-29,a month ago,2021-06-29,service poor food average cost fortune,[]
One of the best grabs around .... Endless booze and meat .... Delicious food and drinks X great place for a meat feast,5.0,2021-07-29,a year ago,2020-07-29,one best grab around endless booze meat delicious food drink x great place meat feast,[]
Such a nice place and the food was very delicious.,5.0,2021-07-29,17 hours ago,2021-07-28,nice place food delicious,[]
"My favourite go to place for good food, good drinks and good live music. Love the Voodoo wings with blue cheese dipping and the barbque wings are good too. Apart from this they serve amazing lobsters as well. They also make good cocktails and offer early evening and late night happy hours from Sunday to Friday. Would definitely recommend this place to satiate your surf n turf cravings.",4.0,2021-07-29,a year ago,2020-07-29,favourite go place good food good drink good live music love voodoo wing blue cheese dip bbque wing good too apart serve amazing lobsters well also make good cocktails offer early even late night happy hours sunday friday would definitely recommend place satiate surf n turf crave,[]
It's so easy to over order/ overeat in this place as the portions are huge! The food tastes great though. I was a little disappointed with the time it took to get served and for the food to arrive but it was a busy Saturday. Perhaps they were understaffed.,4.0,2021-07-29,a year ago,2020-07-29,easy order overeat place portion huge food taste great though little disappoint time take get serve food arrive busy saturday perhaps understaffed,[]
My bf and I booked the free flowing boozy brunch for 14:15 on Saturday. Pro - 1) lobster was nice Cons - 1) we waited 10mins for our initial order to be taken 2) the tables were packed so close together it was difficult to get in and out of the seats 3) music was way to loud 4) we asked for prosecco and we were served sparkling white wine (don't call it prosecco if it isn't) which tasted more like asti 5) the ribs were dry. If your looking for a decent free flowing brunch go downstairs to The Breakfast Club or take a 5min walk to The Humble Grape.,1.0,2021-07-29,a year ago,2020-07-29,bf book free flow boozy brunch saturday pro lobster nice con wait minutes initial order take table pack close together difficult get seat music way loud ask prosecco serve sparkle white wine dont call prosecco isnt taste like asti rib dry look decent free flow brunch go downstairs breakfast club take min walk humble grape,[]
Poor customer service,3.0,2021-07-29,a year ago,2020-07-29,poor customer service,[]
Ok,5.0,2021-07-29,a year ago,2020-07-29,ok,[]
"Beef brisket is the worst, don’t even waste your money",1.0,2021-07-29,a year ago,2020-07-29,beef brisket worst dont even waste money,[]
"Not for ""Shrimp Tuesdays"" after a initial plate with 3 shrimps, they were coming in a pairs too slow too little.",1.0,2021-07-29,a year ago,2020-07-29,not shrimp tuesdays initial plate shrimp come pair slow little,[]
"This place is a 3.5 star for me. I haven’t tried many BBQ places in London but this one is certainly not bad. I really liked the ribs, however, didn’t enjoy the chicken so much due to the sauce. I really enjoyed the environment and music. I would recommend trying out this place.",3.0,2021-07-29,a year ago,2020-07-29,place star me havent try many bbq place london one certainly not bad really like rib however didnt enjoy chicken much due sauce really enjoy environment music would recommend try place,[]
"Food was really good as usual. However service was not on point at all. We had to move seats as there was something greasy dripping on us from the ceiling below a grey pipe. Then they forgot about us for a good while before taking our order at last, and the food took a very long time to come. They forgot one side of chips so we asked again for them and ended up double charged for them... toilets were very dirty with toilet roll around the floor. Light bulb in ladies was also blown and mirrors clearly not cleaned. Doesn't look well looked after. can't say we will be back to this branch again.",2.0,2021-07-29,a week ago,2021-07-22,food really good usual however service not point all move seat something greasy drip us ceiling grey pipe forget us good while take order last food take long time come forget one side chip ask end double charge them toilets dirty toilet roll around floor light bulb ladies also blow mirror clearly not clean doesnt look well look after cant say back branch again,[]
"Was surprisingly disappointed. Been to the covent garden store before and was very happy with the whole experience. This time the experience was completely different and from the start was unhappy. The greeting at the front desk was warm and welcoming, sanitizer and track and trace compulsory and lady at the door stand was polite. Was taken to our table and very disappointed to see there was no social distancing or safety in place that I could see. We was sat at a table that had a small chain link partition to the side of it. This meant our heads were much closer than 1 metre to the people next to us with no masks obviously this was unacceptable. Ask to be moved which we was. I couldn't see any tables reserved to aide with social distancing which has been in place in every other restaurant I have been too. Food was delicious and big portions. Service was slow, mains brought out before the starters were finished, waited 40 minutes for our plates to be cleared, kept seeing drinks taken to the wrong tables including ours. Also observed someone who looked like a manager using the same cloth to clean multiple tables none of which had been sprayed with any kind of disinfectant just asking for cross contamination to happen. As someone who works in the industry, the fact I asked for the service charge to be taken off I think is very telling of the experience. Unfortunately I don't think I would return to this venue any time soon, just doesn't seem safe enough, like profits are being put before people, and staff seem to be too busy to work to their best.",2.0,2021-07-29,10 months ago,2020-10-02,surprisingly disappoint covent garden store happy whole experience time experience completely different start unhappy greet front desk warm welcome sanitizer track trace compulsory lady door stand polite take table disappoint see no social distance safety place could see sit table small chain link partition side it mean head much closer metre people next us no mask obviously unacceptable ask move be couldnt see table reserve aide social distance place every restaurant too food delicious big portion service slow mains bring starters finish wait minutes plat clear keep see drink take wrong table include ours also observe someone look like manager use cloth clean multiple table none spray kind disinfectant ask cross contamination happen someone work industry fact ask service charge take think tell experience unfortunately dont think would return venue time soon doesnt seem safe enough like profit put people staff seem busy work best,[]
Friendly staff. Great atmosphere and location. Great selection and price. Would defo go again. Staff are super efficient and are always available. Food well presented and yummy 👍,5.0,2021-07-29,a year ago,2020-07-29,friendly staff great atmosphere location great selection price would defo go again staff super efficient always available food well present yummy ,[]
Great southern style food. The smoked bbq pork ribs are excellent!,5.0,2021-07-29,a year ago,2020-07-29,great southern style food smoke bbq pork rib excellent,[]
"This is a nice place where a band play live music every evening, the food is good, and the waiters are very skilled and attentive. I highly recommend this restaurant even if only for the excellent waiters. The place is pleasant with a group that plays live every evening, the meal is successful, but above all the servers are particularly competent and attentive. I highly recommend this restaurant, if only for the exceptional waiters.",5.0,2021-07-29,a year ago,2020-07-29,nice place band play live music every even food good staff skilled attentive highly recommend restaurant even excellent staff place pleasant group play live every even meal successful staff particularly competent attentive highly recommend restaurant exceptional staff,[]
"Great restaurant & pub in Canary Wharf, good beer and delicious potato skins and obviously some barbecue.",5.0,2021-07-29,a year ago,2020-07-29,great restaurant pub good beer delicious potato skin obviously bbq,[]
Very very loud music. Not very nice when your trying to eat. However the chips here are out of this world and that’s the only reason my review is 5 star. If I wanted loud music I’d have gone to a bar/club,5.0,2021-07-29,a year ago,2020-07-29,loud music not nice try eat however chip world thats reason review star want loud music id go barclub,[]
"A enjoyable place for casual dining. The restaurant has a big open kitchen and surrounded by glass building. We ordered BBQ chicken as starter, they serve such a large portion! The lobster and shrimp are quiet fresh as well. The idea of inviting live music band is great but the background music is bit too loud.",5.0,2021-07-29,a year ago,2020-07-29,enjoyable place casual din restaurant big open kitchen surround glass build order bbq chicken starter serve large portion lobster shrimp quiet fresh well idea invite live music band great background music bit loud,[]
Disappointed to be honest cocktails are great food is well just ok decent portion sizes. Service can be very slow and it wasn't busy,3.0,2021-07-29,a year ago,2020-07-29,disappoint honest cocktails great food well ok decent portion size service slow wasnt busy,[]
Lobster and Bbq done right Even the big easy brew is great Recommended always,5.0,2021-07-29,9 months ago,2020-11-01,lobster bbq do right even brew great recommend always,[]
"Arrived for our table that was booked for 9pm, no service until 9:30 when we were told there was no more food being served after being told we could eat",1.0,2021-07-29,a month ago,2021-06-29,arrive table book pm no service tell no food serve tell could eat,[]
Great service and atmosphere. Food could've come out hotter though,4.0,2021-07-29,a year ago,2020-07-29,great service atmosphere food couldve come hotter though,[]
Awesome place,5.0,2021-07-29,6 months ago,2021-01-30,awesome place,[]
"The food is really good here,we all enjoyed ourselves.",5.0,2021-07-29,a year ago,2020-07-29,food really good herewe enjoy ourselves,[]
"Very good restaurant, friendly staff, yummy food, good price too! Lunch menu is good price and food is good. Love the ""kids eat free"" offer, means we can visit on Saturday 😁 happy kids happy parents.",5.0,2021-07-29,9 months ago,2020-11-01,good restaurant friendly staff yummy food good price too lunch menu good price food good love kid eat free offer mean visit saturday happy kid happy parent,[]
"Very friendly staff. Food was good. Grandson enjoyed it, very much.",5.0,2021-07-29,9 months ago,2020-11-01,friendly staff food good grandson enjoy it much,[]
"Was not happy to be honest. My food was cold, my cocktail was disappointing, my dessert was unsatisfying. I had high expectations but was thoroughly disappointed. Sorry Big Easy but have to be honest.",2.0,2021-07-29,9 months ago,2020-11-01,not happy honest food cold cocktail disappoint dessert unsatisfying high expectations thoroughly disappoint sorry honest,[]
"As a restaurant, pretty poor. The food is average at best. As a bar, pretty good. Decent selection of drinks, good atmosphere, live music.",3.0,2021-07-29,a year ago,2020-07-29,restaurant pretty poor food average best bar pretty good decent selection drink good atmosphere live music,[]
"Great selection of food, comfortable atmosphere, no rush to leave the table. Excellent staff on hand throughout.. Will be back",5.0,2021-07-29,10 months ago,2020-10-02,great selection food comfortable atmosphere no rush leave table excellent staff hand throughout back,[]
Very good food,5.0,2021-07-29,2 weeks ago,2021-07-15,good food,[]
"we had such a good experience thanks to our waitress Alisia, she was so lovely and so was the food!",5.0,2021-07-29,2 days ago,2021-07-27,good experience thank staff alisia lovely food,[]
"View was great, service arrogant waiters for some reason. Lobsters were big and fun to eat though if a little chewy. Drink that came with meal was funny... room to improve but would still go back",3.0,2021-07-29,a month ago,2021-06-29,view great service arrogant staff reason lobsters big fun eat though little chewy drink come meal funny room improve would still go back,[]
"Big Easy - Big on promise but light and Easy on delivery! We had lunch on 02NOV. The Lobster and Shrimp sandwich looks really tacky - lots of celery, tiny shrimps but maybe 2-3 small pieces of lobster. That’s it. Very uninspiring. The service was also laboured and lacking energy. Whilst I’m not expecting to be greeted by cheerleaders, a bit of enthusiasm wouldn’t hurt. If indifference is your thing, then this place is definitely for you.",1.0,2021-07-29,8 months ago,2020-12-01, big promise light easy delivery lunch nov lobster shrimp sandwich look really tacky lot celery tiny shrimp maybe small piece lobster thats it uninspiring service also labour lack energy whilst im not expect greet cheerleaders bit enthusiasm wouldnt hurt indifference thing place definitely you,[]
Nice service 👌,5.0,2021-07-29,9 months ago,2020-11-01,nice service ,[]
Always entertains and seldom disapoints,4.0,2021-07-29,a year ago,2020-07-29,always entertain seldom disapoints,[]
Great food great music 🎶,5.0,2021-07-29,9 months ago,2020-11-01,great food great music ,[]
Good food. Excellent customer service.,5.0,2021-07-29,a year ago,2020-07-29,good food excellent customer service,[]
Good place with good foos for big group and family,5.0,2021-07-29,a year ago,2020-07-29,good place good foos big group family,[]
It's okay,3.0,2021-07-29,7 months ago,2020-12-31,okay,[]
Went as a early birthday treat meal what can I say food was fantastic place was very busy service was spot on will be returning for sure,5.0,2021-07-29,a year ago,2020-07-29,go early birthday treat meal say food fantastic place busy service spot return sure,[]
"It's not as bad as I expected. The place is cute, with a nice water-front view. Food was decent, although not spectacular.",4.0,2021-07-29,a year ago,2020-07-29,not bad expect place cute nice waterfront view food decent although not spectacular,[]
So much good food here. The lobster was great and the mac n cheese was to die for.,5.0,2021-07-29,6 months ago,2021-01-30,much good food here lobster great mac n cheese die for,[]
"Lovely food as always. Disappointed that we were not allowed to add another guest for a birthday celebration. We booked for 5 people but had a last minute guest we wanted to add. When we were seated , it was a table for 6 people and was set for that amount. Also they ran out of steak which half of our party wanted. Will be back , hopefully soon and hope they sort out their problems.",4.0,2021-07-29,2 months ago,2021-05-30,lovely food always disappoint not allow add another guest birthday celebration book people last minute guest want add seat table people set amount also run steak half party want back hopefully soon hope sort problems,[]
Good food and happy cheerful vibes. Also not too pricey.,4.0,2021-07-29,a year ago,2020-07-29,good food happy cheerful vibes also not pricey,[]
Look just get the cornbread... It will change your life...,4.0,2021-07-29,a year ago,2020-07-29,look get cornbread change life,[]
"Indulged in the Big Easy special deals on and off for 10 years. Came back last night (first time in 5 years) for a guys dinner night out and it delivered. Kind of silly, fun, big deals, tasty food, friendly staff, live band..We had a great night",5.0,2021-07-29,2 days ago,2021-07-27,indulge special deal years come back last night first time years guy dinner night deliver kind silly fun big deal tasty food friendly staff live bandwe great night,[]
Good place to have drink but a bit expensive,4.0,2021-07-29,a year ago,2020-07-29,good place drink bit expensive,[]
The service we received from staff was so lovely! Everyone was really friendly and bubbly. The food and portion sizes are AMAZING. The outside heated area was nice and warm too!,5.0,2021-07-29,2 months ago,2021-05-30,service receive staff lovely everyone really friendly bubbly food portion size amazing outside heat area nice warm too,[]
"The food and everything was good, the staff members are a little unprofessional. Was shock",4.0,2021-07-29,2 months ago,2021-05-30,food everything good staff members little unprofessional shock,[]
"Ridiculous attendant. We had a reservation for 4 people that was booked 3 weeks before, we arrived few minutes late and there was a long waiting line. Which we were instructed to join and wait. By the time it was our turn, they told the extra 15 min of tolerance was gone. And they denied us the table because we were ""late"" after the long wait in the queue. And the couple in front of us had no reservation and they gave them our table. Totally disrespectful behaviour from them. Sad because I'm a local and good client of thwm. used to go often and recommend it to friends. Will do quite the opposite now.",1.0,2021-07-29,3 weeks ago,2021-07-08,ridiculous attendant reservation people book weeks before arrive minutes late long wait line instruct join wait time turn tell extra min tolerance go deny us table late long wait queue couple front us no reservation give table totally disrespectful behaviour them sad im local good client thwm use go often recommend friends quite opposite now,[]
Birthday dinner ruined because waiter carelessly pored food all over my partners clothes.we travelled from Kent to enjoy our birthday dinner.. the manager also handled the situation poorly and unprofessional by suggesting we stayed and eat in dirty clothes and then pay part of the bill for our food ?????...we couldn’t stay obviously so it was a complete waste of journey /petrol /time and emotional trama!!...birthday dinner ended!!,1.0,2021-07-29,a year ago,2020-07-29,birthday dinner ruin staff carelessly pore food partner clotheswe travel kent enjoy birthday dinner manager also handle situation poorly unprofessional suggest stay eat dirty clothe pay part bill food we couldnt stay obviously complete waste journey petrol time emotional tramabirthday dinner end,[]
Food wasn't warm enough,3.0,2021-07-29,8 months ago,2020-12-01,food wasnt warm enough,[]
"Very loud music, it absolutely doesn't belong there. Very good food, but it totally destroys the mood, disappointing. The DJ doesn't have any style, plays all kinds of music that don't belong together. Awful. Just plain awful.",1.0,2021-07-29,a year ago,2020-07-29,loud music absolutely doesnt belong there good food totally destroy mood disappoint dj doesnt style play kinds music dont belong together awful plain awful,[]
"The crab and lobster were very good, the portions are great!",5.0,2021-07-29,a year ago,2020-07-29,crab lobster good portion great,[]
Lame,1.0,2021-07-29,9 months ago,2020-11-01,lame,[]
"Great setting and live music, food is pricey however it does taste very good aswell.",4.0,2021-07-29,9 months ago,2020-11-01,great set live music food pricey however taste good aswell,[]
"The prices at happy hour are good, as well as the food, but the attendants are not worried about the clients, apparently. We drank a beer and ate something, and we were about to order again, but no one came to attend us. We waited for some minutes, they saw us there waiting for someone, but no one came. So we left the place and I think this behavior is too disrespectful.",3.0,2021-07-29,a year ago,2020-07-29,price happy hour good well food attendants arent worry clients apparently drink beer eat something order again no one come attend us wait minutes saw us wait someone no one come leave place think behavior disrespectful,[]
"We visited this resturant to try the lobster. Negatives: - staff is slow and rude. Our table was next to a party table and we couldn't hear each other. When we asked to be moved to another free table, they didn't do it regardless of the fact that tables were free and stayed free during our dinner. - everything took really long time. The staff member promised to bring us ice cream on house, but when it came to it, he asked to wait for another 15 minutes. How hard can it be to serve ice cream? - Big Easy is supposed to cover the cost of parking which is at Canada Place. Even though they stamped the parking ticket, it didn't work and we didn't bother going back and requesting compensation. Positives: - Lobster was prepared nicely.",2.0,2021-07-29,2 weeks ago,2021-07-15,visit resturant try lobster negative staff slow rude table next party table couldnt hear other ask move another free table didnt regardless fact table free stay free dinner everything take really long time staff member promise bring us ice cream house come it ask wait another minutes hard serve ice cream suppose cover cost park canada place even though stamp park ticket didnt work didnt bother go back request compensation positives lobster prepare nicely,[]
"Not fresh, very oily, greasy and soulless. Completely overpriced badly cooked food. Plus if you do reserve, you still have to que 10-15 minutes to get in. Save your money!",1.0,2021-07-29,7 months ago,2020-12-31,not fresh oily greasy soulless completely overprice badly cook food plus reserve still que minutes get in save money,[]
"The vibe and drinks (cocktails) on happy hour are great and the venue is awesome. But, the food was average and we struggled to get someone to serve us at the bar. All round great for a night out in Canary Wharf, summer on the balcony would be amazing.",3.0,2021-07-29,a year ago,2020-07-29,vibe drink cocktails happy hour great venue awesome but food average struggle get someone serve us bar round great night summer balcony would amazing,[]
We eat very well and there is a good choice for vegetarians,5.0,2021-07-29,a year ago,2020-07-29,eat well good choice vegetarians,[]
Great atmosphere and staff really nice,5.0,2021-07-29,6 days ago,2021-07-23,great atmosphere staff really nice,[]
Food and service was ok. I would say it was slightly overpriced. Bathrooms didn’t have hand soap which is not ideal during a pandemic.,2.0,2021-07-29,a month ago,2021-06-29,food service ok would say slightly overprice bathrooms didnt hand soap isnt ideal pandemic,[]
"Don’t ever come here if you’re not very hungry, this is the sort of place you come for a true feast!! As a group of 5 we shared the deluxe BBQ blow out, and everything was super tasty and really well cooked! Service was quick and efficient too!",5.0,2021-07-29,a month ago,2021-06-29,dont ever come youre not hungry sort place come true feast group share deluxe bbq blow out everything super tasty really well cook service quick efficient too,[]
Not good would give zero if I could cold bbq bad service not satisfied at all won't be back,1.0,2021-07-29,18 hours ago,2021-07-28,not good would give zero could cold bbq bad service not satisfy wont back,[]
A bit loud the evening i went but the food was ok the price was a little expensive so 7 out of 10,3.0,2021-07-29,7 months ago,2020-12-31,bit loud even go food ok price little expensive ,[]
It is a good restaurant but The Hit and run express menu is quite misleading. Prices is hidden within a almost invisible written menu and waiter do not advise clearly before hand. So you just find out about that the cost is double when the bill come. The prices in general is quite affordable so it is petty that they dont have all very clear and need to be hiding actual costs in misleading unclear menu advert! Service is average and slow for a almost empty place on the time i have been there . I saw a guest on my side cancelled his order. The hostess are very kind in nice and the place is big and well decorated.,2.0,2021-07-29,a year ago,2020-07-29,good restaurant hit run express menu quite mislead price hide within almost invisible write menu staff dont advise clearly hand find cost double bill come price general quite affordable petty dont clear need hide actual cost mislead unclear menu advert service average slow almost empty place time saw guest side cancel order host kind nice place big well decorate,[]
"The place was tidy and clean , with good customer service",5.0,2021-07-29,a year ago,2020-07-29,place tidy clean good customer service,[]
"Lovely location, yummy food with decent portions. Also, has a great selection of drinks to suit everyone. I didn't give it full stars, just because the chef could of helped cracked the crab claws a bit to make hella a lot easier to eat!",4.0,2021-07-29,10 months ago,2020-10-02,lovely location yummy food decent portion also great selection drink suit everyone didnt give full star chef could help crack crab claw bit make hella lot easier eat,[]
"My expectation was much greater than my experience. We were late so missed our booking (fair enough) we were placed at the bar table. The staff from we arrived had an attitude. I was offered a free drink but this was on the bill. It was my sons birthday and I was not pleased. The mocktail was not nice, the food was nice but they missed my friends order and had to bring it out later. Gave two stars only because the food was nice.",2.0,2021-07-29,4 days ago,2021-07-25,expectation much greater experience late miss book fair enough place bar table staff arrive attitude offer free drink bill sons birthday not please mocktail not nice food nice miss friends order bring later give two star food nice,[]
Do you have Prawns? No Do you have Lobster? No Do you have Burgers? No Tuesday 4th April.,2.0,2021-07-29,2 months ago,2021-05-30,prawn no lobster no burgers no tuesday th april,[]
"I struggle to eat lobster, but the lights make it a 5",5.0,2021-07-29,a year ago,2020-07-29,struggle eat lobster light make ,[]
"The food was not as good as we expected, but the place and the atmosphere was very nice",3.0,2021-07-29,a year ago,2020-07-29,food not good expect place atmosphere nice,[]
"This place hits the spot for a southerner missing home. Obviously it's a bit kitsch, and I wouldn't vouch for their sweet tea (peach flavor and a bit weak tbh) but the bottomless brunch is an excellent way to spend a weekend morning or afternoon. Ribs, pulled pork, proper American style baked beans, coleslaw, and drinks, all bottomless = amazing deal. Book the Canary Wharf location with outside table over the water for holiday vibes. 🌷🤠",5.0,2021-07-29,a month ago,2021-06-29,place hit spot southerner miss home obviously bit kitsch wouldnt vouch sweet tea peach flavor bit weak tbh bottomless brunch excellent way spend weekend morning afternoon rib pulled pork proper american style bake bean coleslaw drink bottomless amazing deal book location outside table water holiday vibes ,[]
"Delicious food & fantastic service from Lucy, Alfredo & the team! Thank you for making the experience so memorable!",5.0,2021-07-29,2 months ago,2021-05-30,delicious food fantastic service lucy alfredo team thank make experience memorable,[]
"First time coming here I was excited, and I am disappointed. I'll explain more... The food was too pricey for what it is, we ordered lobster and steak and the only thing that I said was worth the 20 pounds + was the steak! Order rib eye if you ever come don't bother with the lobster. We also ordered lobster Mac and cheese and it had just a sprinkling of lobster literally a sprinkling. It was cheesy but again not worth the 20 pounds price tag. The biggest no go was no burgers!? We wasn't even told before we sat down, extremely disappointed. The service was poor, we had to wait for our bill, drinks, and to be served. More the 15 to 20 minutes at times. I know you guys are stretched and busy but please explain about the wait. The hygiene in the toilets was not up to a good standard. Bins over flowing and sinks dirty, you wouldn't expect this from a Canary Wharf eatery. I always give places a second chance but I will only be coming back here if I have too.",2.0,2021-07-29,a month ago,2021-06-29,first time come excite disappoint ill explain more food pricey be order lobster steak thing say worth pound steak order rib eye ever come dont bother lobster also order lobster mac cheese sprinkle lobster literally sprinkle cheesy not worth pound price tag biggest no go no burgers wasnt even tell sit down extremely disappoint service poor wait bill drink serve minutes time know guy stretch busy please explain wait hygiene toilets not good standard bin flow sink dirty wouldnt expect eatery always give place second chance come back too,[]
Very nice live music,3.0,2021-07-29,a year ago,2020-07-29,nice live music,[]
"Although big easy has a good offer of food, customer service is incredibly low. We were given a table and told we would need to wait 15 mins to make an order so they only brought us drinks in the meantime. After 20/25 mins we were told we couldn't order food as it was too late... will not come back :/",1.0,2021-07-29,a month ago,2021-06-29,although good offer food customer service incredibly low give table tell would need wait minutes make order bring us drink meantime minutes tell couldnt order food late wont come back ,[]
"I had quite high expectations for this restaurant but unfortunately I felt a little let down. The service was quite slow and I feel like there wasn’t that element of friendliness that you would like to see in a restaurant. The food was quite dry and bland, lacking quite a bit of flavour. This being said, I think the average service is due to them being short staffed. It was clear the staff were doing their best but unable to be as attentive because they were rushed off their feet. I think an extra hand is needed to ease the stress of the waiters and make the dining experience more positive. The cocktails however were AMAZING and fairly priced, particularly during happy hour. The overall layout of the restaurant was really good, some seats had a nice view of Canary Wharf which was an added bonus. Most tables had heaters and also umbrellas in case of bad weather, and it was a comfortable atmosphere. I would come back, but probably just for the lovely drinks",3.0,2021-07-29,2 months ago,2021-05-30,quite high expectations restaurant unfortunately felt little let down service quite slow feel like wasnt element friendliness would like see restaurant food quite dry bland lack quite bit flavour say think average service due short staff clear staff best unable attentive rush feet think extra hand need ease stress staff make din experience positive cocktails however amazing fairly price particularly happy hour overall layout restaurant really good seat nice view add bonus table heaters also umbrellas case bad weather comfortable atmosphere would come back probably lovely drink,[]
"Lovely evening with delitious food, great service and good atmosphere. Calamari and lobster was fresh and very tasty. Little surprise arrived in the end of the dinner which was totaly unexpected, cute treat from the restaurant, especially that we did not order any desert. Will be back again!",5.0,2021-07-29,a year ago,2020-07-29,lovely even delitious food great service good atmosphere calamari lobster fresh tasty little surprise arrive end dinner totaly unexpected cute treat restaurant especially not order desert back again,[]
"I was looking forward to trying here but was disappointed! Apparently if you get the sharer platter or lobster, it's good! However, I had the stuffed jalapenos to start and the Spicy chicken burger for main, and thought it was expensive for what it was! It's a more expensive version of TGI Fridays! To put it into perspective, I come here for lunch and then went to Duck and Waffle for dinner! At both I had a starter, main and side, with a cocktail, I only paid ten pound more at Duck and Waffle, so can't see why you'd come for causal food at this price, when you can have a nice restaurant for a little bit more!",3.0,2021-07-29,a year ago,2020-07-29,look forward try disappoint apparently get sharer platter lobster good however stuff jalapenos start spicy chicken burger main think expensive be expensive version tgi fridays put perspective come lunch go duck waffle dinner starter main side cocktail pay ten pound duck waffle cant see come causal food price nice restaurant little bit more,[]
Lovely location. Good atmosphere. Good value and large portions.,5.0,2021-07-29,a year ago,2020-07-29,lovely location good atmosphere good value large portion,[]
